Common name,GPCRdb ID,Reference ligand,Vendors,Species,Assay Type,Activity Type,Activity Relation,Activity Value,p-value (-log),Fold selectivity,Tested GPCRs,Assay Description,Source,Mol weight,Rot Bonds,H don,H acc,LogP,Smiles,DOI
CHEMBL3642687,124883,,0,Human,Binding,Ki,=,1463.0,5.83,-263,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"482,3",8,1,6,"4,61",CO[C@H]1CC[C@H](CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5occc45)CC3)CC2)CC1,-
CHEMBL3642688,124884,,0,Human,Binding,Ki,=,683.0,6.17,-109,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"454,3",7,1,6,"3,83",O=C(CC1CCOCC1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3642689,124885,,0,Human,Binding,Ki,=,515.0,6.29,-177,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"440,3",6,1,6,"3,44",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1)C1CCOCC1,-
CHEMBL3642690,124886,,0,Human,Binding,Ki,=,996.0,6.0,-134,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"414,3",8,1,6,"3,05",CCOCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3642691,124887,,0,Human,Binding,Ki,=,261.0,6.58,-60,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"396,3",6,1,5,"3,42",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1)C1CC1,-
CHEMBL3642692,124888,,0,Human,Binding,Ki,=,866.0,6.06,-128,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"406,2",6,1,6,"2,45",CS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3642693,124889,,0,Human,Binding,Ki,=,119.0,6.92,-63,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"386,2",5,1,5,"3,50",CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1,-
CHEMBL3642694,124890,,0,Human,Binding,Ki,=,780.0,6.11,-91,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"420,2",7,1,6,"2,84",CCS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3642695,124891,,0,Human,Binding,Ki,=,539.0,6.27,-102,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"435,2",7,1,6,"2,29",CN(C)S(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3642696,124892,,0,Human,Binding,Ki,=,163.0,6.79,-102,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"400,2",6,1,5,"3,89",CCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1,-
CHEMBL3642697,124893,,0,Human,Binding,Ki,=,305.0,6.52,-158,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"430,2",8,1,6,"3,52",COCCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1,-
CHEMBL3642698,124894,,0,Human,Binding,Ki,=,302.0,6.52,-120,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"498,3",8,1,6,"5,08",CO[C@H]1CC[C@H](CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5sccc45)CC3)CC2)CC1,-
CHEMBL3642699,124895,,0,Human,Binding,Ki,=,271.0,6.57,-79,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"484,3",8,1,6,"4,69",CO[C@@H]1CC[C@@H](CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5sccc45)CC3)CC2)C1,-
CHEMBL3642699,124895,,0,Human,Binding,Ki,=,234.0,6.63,-79,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"484,3",8,1,6,"4,69",CO[C@@H]1CC[C@@H](CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5sccc45)CC3)CC2)C1,-
CHEMBL3642700,124897,,0,Human,Binding,Ki,=,220.0,6.66,-100,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"416,2",7,1,6,"3,13",COCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1,-
CHEMBL3642701,124898,,0,Human,Binding,Ki,=,144.0,6.84,-53,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"470,3",7,1,6,"4,30",O=C(CC1CCOCC1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1,-
CHEMBL3642702,124899,,0,Human,Binding,Ki,=,992.0,6.0,-588,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"456,3",6,1,6,"3,91",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1)C1CCOCC1,-
CHEMBL3642703,124900,,0,Human,Binding,Ki,=,246.0,6.61,-81,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"484,3",8,1,6,"4,69",CO[C@H]1CC[C@H](CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5sccc45)CC3)CC2)C1,-
CHEMBL3642704,124901,,0,Human,Binding,Ki,=,218.0,6.66,-154,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"402,2",6,2,6,"2,48",O=C(CO)N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1,-
CHEMBL3642705,124902,,0,Human,Binding,Ki,=,392.0,6.41,-97,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"484,3",7,2,6,"4,42",O=C(C[C@H]1CC[C@H](O)CC1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1,-
CHEMBL3642706,124903,,0,Human,Binding,Ki,=,461.0,6.34,-87,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"483,3",6,1,6,"4,88",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1)c1ccnc2ccccc12,-
CHEMBL3642707,124904,,0,Human,Binding,Ki,=,265.0,6.58,-91,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"422,2",6,1,6,"2,92",CS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1,-
CHEMBL3642708,124905,,0,Human,Binding,Ki,=,217.0,6.66,-75,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"436,2",7,1,6,"3,31",CCS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1,-
CHEMBL3642709,124906,,0,Human,Binding,Ki,=,770.1,6.11,-61,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"372,3",5,1,5,"2,22",CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642710,124908,,0,Human,Binding,Ki,=,503.5,6.3,-85,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"442,3",6,1,6,"2,63",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C1CCOCC1,-
CHEMBL3642711,124909,,0,Human,Binding,Ki,=,869.0,6.06,-43,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"456,3",7,1,6,"3,02",O=C(CC1CCOCC1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642712,124910,,0,Human,Binding,Ki,=,1488.0,5.83,-85,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"416,3",8,1,6,"2,24",COCCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642713,124911,,0,Human,Binding,Ki,=,812.7,6.09,-83,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"386,3",6,1,5,"2,61",CCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642714,124912,,0,Human,Binding,Ki,=,1471.4,5.83,-151,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"458,3",7,1,7,"2,01",O=C(CC1COCCO1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642715,124913,,0,Human,Binding,Ki,=,1545.4,5.81,-141,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"402,3",7,1,6,"1,85",COCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642716,124914,,0,Human,Binding,Ki,=,1018.3,5.99,-104,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"450,2",7,1,7,"1,25",CS(=O)(=O)CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642717,124915,,0,Human,Binding,Ki,=,1568.0,5.8,-128,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"388,2",6,2,6,"1,20",O=C(CO)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642718,124916,,0,Human,Binding,Ki,=,733.5,6.13,-64,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"402,3",7,2,6,"1,59",O=C(CCO)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642719,124917,,0,Human,Binding,Ki,=,609.5,6.21,-61,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"428,3",6,1,6,"2,24",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C1CCOC1,-
CHEMBL3642720,124918,,0,Human,Binding,Ki,=,1044.0,5.98,-165,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"428,3",6,1,6,"2,38",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C1CCCO1,-
CHEMBL3642721,124919,,0,Human,Binding,Ki,=,481.2,6.32,-63,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"434,3",6,1,5,"3,52",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccccc1,-
CHEMBL3642722,124920,,0,Human,Binding,Ki,=,341.9,6.47,-31,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"452,3",6,1,5,"3,66",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc(F)cc1,-
CHEMBL3642723,124921,,0,Human,Binding,Ki,=,289.2,6.54,-21,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"468,2",6,1,5,"4,17",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc(Cl)cc1,-
CHEMBL3642724,124922,,0,Human,Binding,Ki,=,871.2,6.06,-46,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"502,3",6,1,5,"4,54",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc(C(F)(F)F)cc1,-
CHEMBL3642725,124923,,0,Human,Binding,Ki,=,1269.5,5.9,-57,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"408,2",6,1,6,"1,64",CS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642726,124924,,0,Human,Binding,Ki,=,1093.5,5.96,-61,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"422,2",7,1,6,"2,03",CCS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642727,124925,,0,Human,Binding,Ki,=,240.0,6.62,-35,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"488,2",7,1,6,"3,21",O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc(F)cc1,-
CHEMBL3642728,124926,,0,Human,Binding,Ki,=,586.8,6.23,-114,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"412,3",7,1,5,"3,00",O=C(CC1CC1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642729,124927,,0,Human,Binding,Ki,=,555.0,6.26,-54,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"412,3",6,1,5,"3,00",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C1CCC1,-
CHEMBL3642730,124928,,0,Human,Binding,Ki,=,766.8,6.12,-120,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"442,3",6,1,6,"2,63",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C1CCCOC1,-
CHEMBL3642731,124929,,0,Human,Binding,Ki,=,506.5,6.29,-40,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"470,3",6,2,6,"3,15",C[C@]1(O)CC[C@H](C(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5c4CCO5)CC3)CC2)CC1,-
CHEMBL3642732,124930,,0,Human,Binding,Ki,=,475.0,6.32,-77,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"470,3",6,2,6,"3,15",C[C@]1(O)CC[C@@H](C(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5c4CCO5)CC3)CC2)CC1,-
CHEMBL3642733,124931,,0,Human,Binding,Ki,=,5340.0,5.27,-281,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"517,3",7,1,6,"4,51",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc(N2CCCCC2)cc1,-
CHEMBL3642734,124932,,0,Human,Binding,Ki,=,867.1,6.06,-194,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"519,3",7,1,7,"3,35",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc(N2CCOCC2)cc1,-
CHEMBL3642735,124933,,0,Human,Binding,Ki,=,592.9,6.23,-100,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"414,3",6,2,6,"1,73",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C1(O)CC1,-
CHEMBL3642736,124934,,0,Human,Binding,Ki,=,702.5,6.15,-91,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"397,2",6,1,6,"2,12",N#CCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642737,124935,,0,Human,Binding,Ki,=,687.5,6.16,-104,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"440,2",6,1,5,"3,16",O=C(CC(F)(F)F)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642738,124936,,0,Human,Binding,Ki,=,1124.0,5.95,-95,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"458,3",7,1,7,"2,01",O=C(C[C@@H]1COCCO1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642739,124937,,0,Human,Binding,Ki,=,547.5,6.26,-151,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"485,3",6,1,6,"4,07",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccnc2ccccc12,-
CHEMBL3642740,124938,,0,Human,Binding,Ki,=,485.6,6.31,-44,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"398,3",6,1,5,"2,61",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C1CC1,-
CHEMBL3642741,124939,,0,Human,Binding,Ki,=,1262.8,5.9,-75,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"442,3",7,1,6,"2,77",O=C(CC1CCCO1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642742,124940,,0,Human,Binding,Ki,=,2451.9,5.61,-165,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"484,3",8,1,6,"3,80",CO[C@H]1CC[C@H](CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5c4CCO5)CC3)CC2)CC1,-
CHEMBL3642743,124941,,0,Human,Binding,Ki,=,781.5,6.11,-67,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"437,2",7,1,6,"1,48",CN(C)S(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642744,124942,,0,Human,Binding,Ki,=,1461.0,5.83,-181,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"458,3",7,1,7,"2,01",O=C(C[C@H]1COCCO1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642745,124943,,0,Human,Binding,Ki,=,914.7,6.04,-63,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"442,3",7,1,6,"2,77",O=C(C[C@H]1CCCO1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642746,124944,,0,Human,Binding,Ki,=,857.9,6.07,-46,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"442,3",7,1,6,"2,77",O=C(C[C@@H]1CCCO1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642747,124945,,0,Human,Binding,Ki,=,523.9,6.28,-56,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"414,3",5,1,5,"3,25",CC(C)(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642748,124946,,0,Human,Binding,Ki,=,654.8,6.18,-60,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"414,3",7,1,5,"3,25",CC(C)CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642749,124947,,0,Human,Binding,Ki,=,444.2,6.35,-27,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"428,3",6,1,5,"3,64",CC(C)(C)CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642750,124948,,0,Human,Binding,Ki,=,602.7,6.22,-67,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"426,3",7,1,5,"3,39",O=C(CC1CCC1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
CHEMBL3642751,124949,,0,Human,Binding,Ki,=,438.3,6.36,-25,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"434,2",6,1,5,"2,86",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C1CC1(F)F,-
CHEMBL3642752,124950,,0,Human,Binding,Ki,=,705.1,6.15,-69,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"400,3",6,1,5,"2,86",CC(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,-
