Common name,GPCRdb ID,Reference ligand,Vendors,Species,Assay Type,Activity Type,Activity Relation,Activity Value,p-value (-log),Fold selectivity,Tested GPCRs,Assay Description,Source,Mol weight,Rot Bonds,H don,H acc,LogP,Smiles,DOI,cell_line,expression_system,detection_tech,group_m1,DOI_clean,group_m2,group_m1_size
CHEMBL1257858,17517,,0,Human,Binding,Ki,=,"21,80",7.66,-32,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"415,2",6,1,4,"3,98",Cc1cc2c(cc1OCCCN1CCN(c3cccc4ccccc34)CC1)C(=O)NC2,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1257859,17518,,0,Human,Binding,Ki,=,"2,46",8.61,-3,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"429,2",7,1,4,"4,37",Cc1cc2c(cc1OCCCCN1CCN(c3cccc4ccccc34)CC1)C(=O)NC2,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1257927,17530,,0,Human,Binding,Ki,=,"55,00",7.26,-1,5,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,ChEMBL,"379,3",6,1,3,"4,87",Cc1ccc(C)c(C(=O)CCCN2CCC(O)(c3cc(C)ccc3C)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1257927,17530,,0,Human,Binding,Ki,=,"46,00",7.34,-1,5,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,ChEMBL,"379,3",6,1,3,"4,87",Cc1ccc(C)c(C(=O)CCCN2CCC(O)(c3cc(C)ccc3C)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1257968,17544,,0,Human,Binding,Ki,=,"11,50",7.94,-5,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"421,2",7,1,5,"2,98",O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4CCOC5)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1257969,17545,,0,Human,Binding,Ki,=,"13,80",7.86,-107,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"419,2",6,1,4,"3,81",O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccccc45)CC3)c(F)c21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1257970,17546,,0,Human,Binding,Ki,=,"16,60",7.78,-11,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"433,2",6,1,4,"4,12",Cc1cc2c(cc1OCCCN1CCN(c3cccc4cccc(F)c34)CC1)C(=O)NC2,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1257971,17547,,0,Human,Binding,Ki,=,"2,34",8.63,1,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"447,2",7,1,4,"4,51",Cc1cc2c(cc1OCCCCN1CCN(c3cccc4cccc(F)c34)CC1)C(=O)NC2,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258036,17559,,0,Human,Binding,Ki,=,"19,00",7.72,-2,5,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,ChEMBL,"456,3",6,0,3,"5,50",O=C(CCCN1CCN(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1ccc(F)cc1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258036,17559,,0,Human,Binding,Ki,=,"22,00",7.66,-2,5,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,ChEMBL,"456,3",6,0,3,"5,50",O=C(CCCN1CCN(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1ccc(F)cc1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258037,17560,,0,Human,Binding,Ki,=,"13,00",7.89,1,5,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,ChEMBL,"354,2",6,0,3,"4,23",Cc1ccc(C)c(N2CCN(CCCC(=O)c3ccc(F)cc3)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258037,17560,,0,Human,Binding,Ki,=,"16,00",7.8,1,5,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,ChEMBL,"354,2",6,0,3,"4,23",Cc1ccc(C)c(N2CCN(CCCC(=O)c3ccc(F)cc3)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258084,17578,,0,Human,Binding,Ki,=,"22,30",7.65,-20,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"433,2",7,1,4,"4,20",O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)c(F)c21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258085,17579,,0,Human,Binding,Ki,=,"5,49",8.26,-1,2,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"437,2",6,1,4,"3,95",O=C1NCc2ccc(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(F)c21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258086,17580,,0,Human,Binding,Ki,=,"3,81",8.42,-7,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"433,2",6,1,4,"4,12",Cc1cc2c(cc1OCCCN1CCN(c3cccc4cc(F)ccc34)CC1)C(=O)NC2,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258087,17581,,0,Human,Binding,Ki,=,"0,81",9.09,2,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"447,2",7,1,4,"4,51",Cc1cc2c(cc1OCCCCN1CCN(c3cccc4cc(F)ccc34)CC1)C(=O)NC2,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258154,17592,,0,Human,Binding,Ki,=,"620,00",6.21,-4,5,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,ChEMBL,"472,2",6,0,3,"6,01",O=C(CCCN1CCN(c2ccc(Cl)cc2)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258154,17592,,0,Human,Binding,Ki,=,"440,00",6.36,-4,5,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,ChEMBL,"472,2",6,0,3,"6,01",O=C(CCCN1CCN(c2ccc(Cl)cc2)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258155,17593,,0,Human,Binding,Ki,=,"190,00",6.72,-19,5,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,ChEMBL,"369,2",6,0,2,"5,80",Cc1ccc(C)c(C(=O)CCCN2CCC(c3ccc(Cl)cc3)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258155,17593,,0,Human,Binding,Ki,=,"200,00",6.7,-19,5,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,ChEMBL,"369,2",6,0,2,"5,80",Cc1ccc(C)c(C(=O)CCCN2CCC(c3ccc(Cl)cc3)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258199,17613,,0,Human,Binding,Ki,=,"35,20",7.45,-63,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"451,2",7,1,4,"4,34",O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(F)c21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258200,17614,,0,Human,Binding,Ki,=,"10,30",7.99,-11,2,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"437,2",6,1,4,"3,95",O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)c(F)c21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258270,17625,,0,Human,Binding,Ki,=,"260,00",6.58,-7,5,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,ChEMBL,"363,3",6,0,2,"5,76",Cc1ccc(C)c(C(=O)CCCN2CCC(c3cc(C)ccc3C)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258270,17625,,0,Human,Binding,Ki,=,"400,00",6.4,-7,5,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,ChEMBL,"363,3",6,0,2,"5,76",Cc1ccc(C)c(C(=O)CCCN2CCC(c3cc(C)ccc3C)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258312,17643,,0,Human,Binding,Ki,=,"34,00",7.47,-229,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"387,2",6,1,4,"4,03",c1ccc2c(N3CCN(CCCOc4ccc5c(c4)CNC5)CC3)cccc2c1,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258313,17644,,0,Human,Binding,Ki,=,"5,75",8.24,-2,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"451,2",7,1,4,"4,34",O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)c(F)c21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258314,17645,,0,Human,Binding,Ki,=,"8,59",8.07,-2,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"437,2",6,1,4,"3,95",O=C1NCc2ccc(OCCCN3CCN(c4cccc5cc(F)ccc45)CC3)c(F)c21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258382,17659,,0,Human,Binding,Ki,=,"83,00",7.08,-70,5,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,ChEMBL,"523,3",7,1,4,"6,12",O=C(NCCCCN1CCN(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1cc2ccccc2s1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258382,17659,,0,Human,Binding,Ki,=,"150,00",6.82,-70,5,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,ChEMBL,"523,3",7,1,4,"6,12",O=C(NCCCCN1CCN(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1cc2ccccc2s1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258383,17660,,0,Human,Binding,Ki,=,"84,00",7.08,-29,5,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,ChEMBL,"421,2",7,1,4,"4,85",Cc1ccc(C)c(N2CCN(CCCCNC(=O)c3cc4ccccc4s3)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258383,17660,,0,Human,Binding,Ki,=,"65,00",7.19,-29,5,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,ChEMBL,"421,2",7,1,4,"4,85",Cc1ccc(C)c(N2CCN(CCCCNC(=O)c3cc4ccccc4s3)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258425,17678,,0,Human,Binding,Ki,=,"40,70",7.39,-199,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"401,2",7,1,4,"4,42",c1ccc2c(N3CCN(CCCCOc4ccc5c(c4)CNC5)CC3)cccc2c1,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258426,17679,,0,Human,Binding,Ki,=,"24,70",7.61,-239,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"405,2",6,1,4,"4,17",Fc1ccc2cccc(N3CCN(CCCOc4ccc5c(c4)CNC5)CC3)c2c1,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258427,17680,,0,Human,Binding,Ki,=,"15,80",7.8,-5,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"451,2",7,1,4,"4,34",O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)c(F)c21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258428,17681,,0,Human,Binding,Ki,=,"8,92",8.05,-13,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"419,2",6,1,4,"3,81",O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5ccccc45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258494,17697,,0,Human,Binding,Ki,=,"22,00",7.66,-4,5,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,ChEMBL,"395,3",8,1,4,"3,64",COc1ccccc1N1CCN(CCCCNC(=O)c2cc(C)ccc2C)CC1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258494,17697,,0,Human,Binding,Ki,=,"17,00",7.77,-4,5,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,ChEMBL,"395,3",8,1,4,"3,64",COc1ccccc1N1CCN(CCCCNC(=O)c2cc(C)ccc2C)CC1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258495,17698,,0,Human,Binding,Ki,=,"86,00",7.07,-3,5,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,ChEMBL,"393,3",7,1,3,"4,25",Cc1ccc(C)c(C(=O)NCCCCN2CCN(c3cc(C)ccc3C)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258495,17698,,0,Human,Binding,Ki,=,"99,00",7.0,-3,5,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,ChEMBL,"393,3",7,1,3,"4,25",Cc1ccc(C)c(C(=O)NCCCCN2CCN(c3cc(C)ccc3C)CC2)c1,https://dx.doi.org/10.1021/jm100899z,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm100899z,human|binding|chembl|https://dx.doi.org/10.1021/jm100899z,1873
CHEMBL1258532,17714,,0,Human,Binding,Ki,=,"80,70",7.09,-331,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"419,2",7,1,4,"4,56",Fc1ccc2cccc(N3CCN(CCCCOc4ccc5c(c4)CNC5)CC3)c2c1,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258533,17715,,0,Human,Binding,Ki,=,"16,30",7.79,-177,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"401,2",6,1,4,"3,67",O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccccc45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258534,17716,,0,Human,Binding,Ki,=,"0,88",9.06,-1,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"433,2",7,1,4,"4,20",O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258535,17717,,0,Human,Binding,Ki,=,"9,54",8.02,-7,2,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"437,2",6,1,4,"3,95",O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258647,17751,,0,Human,Binding,Ki,=,"7,39",8.13,-12,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"415,2",7,1,4,"4,06",O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258648,17752,,0,Human,Binding,Ki,=,"27,80",7.56,-616,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"419,2",6,1,4,"3,81",O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258649,17753,,0,Human,Binding,Ki,=,"1,41",8.85,-12,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"451,2",7,1,4,"4,34",O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258650,17754,,0,Human,Binding,Ki,=,"5,81",8.24,-16,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"437,2",6,1,4,"3,95",O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258760,17789,,0,Human,Binding,Ki,=,"33,80",7.47,-40,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"433,2",7,1,4,"4,20",O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258761,17790,,0,Human,Binding,Ki,=,"13,60",7.87,-954,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"419,2",6,1,4,"3,81",O=C1NCc2ccc(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
CHEMBL1258762,17791,,0,Human,Binding,Ki,=,"11,20",7.95,-6,3,Displacement of [3H]-Spiperone from human dopamine D2L receptor expressed in CHO cells,ChEMBL,"451,2",7,1,4,"4,34",O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2010.08.023,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2010.08.023,1873
