Common name,Smiles,Activity Type,p-value (-log)
CHEMBL333085,COc1ccccc1-c1cccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3,Ki,5.88
CHEMBL5277640,CCCN1C[C@H](c2ccc(N)nc2)OC[C@@H]1C,Ki,5.88
CHEMBL120927,CN1CCc2ccc3cnc4cccc5c4c3c2[C@H]1C5,Ki,5.88
CHEMBL3975147,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccc(F)cc3C(F)(F)F)C2)n1C,Ki,5.89
CHEMBL29435,COc1c(C(=O)NCCN2CCN(c3cccc([N+](=O)[O-])c3)CC2)cc(Br)c2ccccc12,Ki,5.89
CHEMBL212438,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3cc(F)c(F)c(F)c3F)c3ccccc32)CC1,Ki,5.89
CHEMBL4069306,c1ccc(CCC2CN(Cc3c[nH]c4ccccc34)CCO2)cc1,Ki,5.89
CHEMBL3740360,Clc1ccc(N2CCN(CCCCNc3noc(-c4ccccc4)n3)CC2)c(Cl)c1,Ki,5.89
volinanserin,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,Ki,5.89
CHEMBL370652,O=C(N[C@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C1)c1cccc(-c2cccs2)c1,Ki,5.89
CHEMBL29849,COc1cccc(N2CCN(CCNC(=O)c3cc(Br)c4ccccc4c3OC)CC2)c1,Ki,5.89
CHEMBL325818,COc1c(C(=O)NC[C@@H]2CCN(Cc3ccccc3)C2)cc(Br)c2ccccc12,Ki,5.89
CHEMBL4301717,CC1(c2ccc(Cl)cc2)NC(=O)N(CC(O)CN2CCN(c3ccccc3C#N)CC2)C1=O,Ki,5.89
CHEMBL3289982,O=S(=O)(NCCCCN1CCN(c2noc3ccccc23)CC1)c1cc2ccccc2s1,Ki,5.89
CHEMBL5411545,CCCN(CCCCOc1ccc2c(c1)NC(=O)CC2)Cc1cc2cccc(OCC)c2o1,Ki,5.89
CHEMBL79098,c1ccc(CCN2CCC(c3cc(-c4ccncc4)[nH]n3)CC2)cc1,Ki,5.89
CHEMBL158402,CN(C)CCSc1cccc(C2CCCCC2)n1,Ki,5.89
CHEMBL93832,Cc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2cccc(Cl)c2)CC1,Ki,5.89
SKF-82958,C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1,Ki,5.89
(-)-noradrenaline,NC[C@H](O)c1ccc(O)c(O)c1,Ki,5.89
CHEMBL244374,Cc1ccc(Oc2cccc(CN3CCC(c4cccc(NC(=O)C(C)C)c4)CC3)c2)cc1,Ki,5.89
CHEMBL154482,C1=C(/C=C/c2ccccc2)CCN(CCc2cc3ccc[nH]c-3n2)C1,Ki,5.89
CHEMBL345458,CN(C)[C@@H]1Cc2cccc3ncn(c23)C1,Ki,5.89
CHEMBL28054,Oc1cc2c(cc1O)[C@H]1c3cnccc3CN[C@@H]1CC2,Ki,5.89
CHEMBL445111,N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)CC2,Ki,5.9
CHEMBL325060,CCS(=O)(=O)c1ccc(OC)c(-c2ccc(CN3CCCCCC3c3ccccc3C)[nH]2)c1,Ki,5.9
CHEMBL106751,CC(c1ccc(Cl)cc1)N1CCN(CC(=O)N2c3ccccc3CC2C)CC1,Ki,5.9
CHEMBL328002,CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCc2nc(SC)ncc2C1,Ki,5.9
CHEMBL92438,CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCc2ncncc2C1,Ki,5.9
GSI-NC,CC(C)(C)OC(=O)N1CCCC1CNC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,Ki,5.9
CHEMBL240589,O=C(/C=C/c1ccccc1)NCCCCN1CCc2ccccc2C1,Ki,5.9
CHEMBL201326,COc1cccc2cc(C(=O)NCCCCN3CCN(c4cccc5nccnc45)CC3)oc12,Ki,5.9
CHEMBL71707,O=C(/C=C/c1ccc(Cl)c(Cl)c1)N[C@H]1CC[C@@H](CN2[C@H]3CC[C@@H]2C[C@@H](c2c[nH]c4ccc(O)cc24)C3)CC1,Ki,5.9
SB 699551,CN(C)CCN(Cc1ccc(-c2ccc(CNCCc3ccccc3)cc2)cc1)C(=O)CCC1CCCC1,Ki,5.9
SB 649915,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)NC(=O)CO5)CC3)cccc2n1,Ki,5.9
CHEMBL2059313,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3cccnc32)CC1,Ki,5.9
CHEMBL5088622,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(OCCCN3CCCC3)ccc1C2,Ki,5.9
CHEMBL393539,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4F)NC(=O)CO5)CC3)cc(F)cc2n1,Ki,5.9
CHEMBL4876799,CCCCCCNC(=O)/N=C(\N)NC1CCc2nc(N)sc2C1,Ki,5.9
CHEMBL319355,CS(=O)(=O)Oc1cccc2c1CC[C@@H]1[C@@H]2CCCN1CCCCNC(=O)c1ccc(-c2ccccc2)cc1,Ki,5.9
CHEMBL1181665,O=C(/C=C/c1ccccc1)N(Cc1ccc(-c2ccc(CNCCc3ccccc3)cc2)cc1)Cc1cccnc1,Ki,5.9
CHEMBL129997,CCCN(CCC)[C@@H]1CCc2c(ccc(C(O)Cc3ccc(Cl)cc3)c2OC)C1,Ki,5.9
CHEMBL213472,CN1CCN(C2=Nc3ccccc3N(NC(=O)c3ccc4c(c3)OCO4)c3ccc(Cl)cc32)CC1,Ki,5.9
CHEMBL238519,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4F)NC(=O)CO5)CC3)cc(Cl)cc2n1,Ki,5.9
CHEMBL85711,N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3cccc4ccccc34)CC1)CC2,Ki,5.9
CHEMBL61090,COc1cc2ccccc2cc1CC(=O)CC1CCN(Cc2ccccc2)CC1,Ki,5.9
CHEMBL4789472,O=C(CCCN1C2CCC1CN(c1ccc(Cl)cn1)C2)c1ccc(F)cc1,Ki,5.9
CHEMBL3775572,Cn1c(SCCCN2CC3CCN(c4ccc(C(F)(F)F)cc4)C3C2)nnc1-c1cncnc1,Ki,5.9
CHEMBL3775350,Cn1c(SCCCN2CC3CCN(c4c(F)cc(F)cc4F)C3C2)nnc1-c1ccn(C)c(=O)c1,Ki,5.9
CHEMBL3775197,Cn1c(SCCCN2CC3CCN(c4ccccc4C(F)(F)F)C3C2)nnc1-c1cccnc1,Ki,5.9
CHEMBL3774911,Cn1c(SCCCN2CC3CCN(c4ccc(F)cc4C(F)(F)F)C3C2)nnc1-c1cnccn1,Ki,5.9
CHEMBL5090215,CN(C)C(=O)C(CCNCCCCN1CCc2ccc(C#N)cc2C1)(c1ccccc1)c1ccccc1,Ki,5.91
CHEMBL3800153,CN1CCN(c2cc(-c3ccc(C(F)(F)F)cc3)c3ccn(S(C)(=O)=O)c3n2)CC1,Ki,5.91
CHEMBL322567,O=C1C(=O)N(CCN2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,Ki,5.91
GSI-NC,CC(C)(C)OC(=O)N1CCCC1CNC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,Ki,5.91
CHEMBL4473083,CN1CCN(c2nc(N)nc(COc3ccc(Cl)cc3Cl)n2)CC1,Ki,5.91
CHEMBL456429,O=C(CN1C2CCC1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1,Ki,5.91
CHEMBL5415842,CCC1(CC)CC(OCCCN2CCN(c3cccc(C(F)(F)F)n3)CC2)(c2ccccn2)CCO1,Ki,5.91
CHEMBL133938,CCCN(CCc1cccs1)[C@H]1CCc2ccc(OC)cc2C1,Ki,5.91
CHEMBL4595145,CCCN(CCCCNC(=O)c1ccc(-c2ccccn2)cc1)C[C@H]1C[C@@H]1c1cc(F)ccc1OC,Ki,5.91
CHEMBL4076903,O=S(=O)(c1cccc2ncccc12)N1CCC(CCN2CCN(c3ccccc3)CC2)CC1,Ki,5.91
CHEMBL4866058,Clc1ccc2c(c1)CC(CCN1CCN(c3ccccn3)CC1)C2,Ki,5.91
ipsapirone,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,Ki,5.91
CHEMBL4797375,Cc1ccc2c(c1)N=C(C1=C[C@H](C)N(C)CC1)c1cc(OC(F)(F)F)ccc1N2,Ki,5.91
ecopipam,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,Ki,5.91
CHEMBL3265065,CCCN(CC[C@]1(O)C[C@@H](NC(=O)c2ccc3ccccc3c2)C1)[C@H]1C[C@@H]1c1cccc(Cl)c1,Ki,5.91
CHEMBL2180640,CCCCN(CCc1ccccc1)CCc1cccc(O)c1,Ki,5.91
CHEMBL3894257,Cc1ncsc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccc(C(F)(F)F)cc3)C2)n1C,Ki,5.91
CHEMBL4596298,COc1ccc2c(c1)c(-c1nc3n(c1C)CCCN3)cn2S(=O)(=O)c1ccccc1,Ki,5.91
CHEMBL3913542,Cc1ccc(-c2nnc(SCCCN3CC[C@]4(C[C@@H]4c4ccc(C(F)(F)F)cc4)C3)n2C)c(C)n1,Ki,5.91
CHEMBL4527124,Cc1cc(OCc2nc(N)nc(N3CCN(C)CC3)n2)ccc1Cl,Ki,5.91
CHEMBL4075422,O=S(=O)(c1cncc2ccccc12)N1CCC(CCN2CCN(c3ccccc3)CC2)CC1,Ki,5.91
CHEMBL4175018,Cc1oc(-c2ccco2)nc1CN1CCN([C@@H]2CCc3ccccc3C2)CC1,Ki,5.91
CHEMBL1684023,CCCN1CCc2cccc3c2C1Cc1cccc(OCc2cn(CCCN4CCN(c5ccccc5OC)CC4)nn2)c1-3,Ki,5.92
CHEMBL283034,COc1c(C(=O)NCCN2CCN(c3cccc(C)c3)CC2)cc(Br)c2ccccc12,Ki,5.92
idalopirdine,Fc1ccc2c(CCNCc3cccc(OCC(F)(F)C(F)F)c3)c[nH]c2c1,Ki,5.92
CHEMBL4300609,Cc1cccc(OCCOCCN2CCN(CCc3ccccc3)CC2)c1C,Ki,5.92
CHEMBL596801,CCCN1CCN(c2cccc(S(C)(=O)=O)c2)CC1,Ki,5.92
CHEMBL187122,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(-c2ccsc2)cc1,Ki,5.92
CHEMBL3695415,CCC(C)C(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1,Ki,5.92
CHEMBL4064191,O=c1ccc2c(N3CCNCC3)ccc(O)c2[nH]1,Ki,5.92
CHEMBL361875,CCCN(CCC)[C@H]1CCc2c(cccc2-c2c(OC)cccc2OC)C1,Ki,5.92
CHEMBL108297,NS(=O)(=O)c1ccc(CSc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,Ki,5.92
CHEMBL4596543,COc1ccc2c(c1)c(-c1cnc(N)[nH]1)cn2S(=O)(=O)c1ccccc1,Ki,5.92
CHEMBL391257,COc1ccccc1N1CCN(CCCCNC(=O)c2cccc(C#Cc3ccccc3)c2)CC1,Ki,5.92
CHEMBL484599,CCCN1CCO[C@@H]2c3cc(C(N)=O)ccc3CC[C@H]21,Ki,5.92
CHEMBL159903,Fc1ccc(OC[C@@H]2CC[C@H]3CN(c4ncccn4)CCN3C2)cc1,Ki,5.92
CHEMBL241211,O=C(NCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc(C#Cc2ccccc2)c1,Ki,5.92
CHEMBL3588991,COc1ccccc1N1CCN(CC(O)CCn2cc(-c3ccccc3)nn2)CC1,Ki,5.92
CHEMBL482556,CCCN1CCO[C@@H]2c3cc4c(=O)[nH]ccc4cc3CC[C@H]21,Ki,5.92
CHEMBL37604,Cc1ccc(C2CCN(CCC3NC(=O)c4ccccc43)CC2)cc1C,Ki,5.92
CHEMBL105509,CCCN(CCC)C1CCc2nc(OC)ccc2C1,Ki,5.92
CHEMBL108157,O=c1sc2ccccc2n1CCN1CCN(Cc2ccc(Cl)cc2)CC1,Ki,5.92
CHEMBL25887,Cc1nnn(C2CCN(Cc3ccccc3)CC2)c1-c1ccccc1,Ki,5.92
CHEMBL4597157,CCCN(CCCSc1nnc(-c2ccccc2)n1C)CC1CC1c1cc(F)ccc1OC,Ki,5.93
CHEMBL70565,CCCN1CCO[C@@H]2c3cc(O)ccc3OC[C@H]21,Ki,5.93
CHEMBL3990525,O=C(CCCN1CCc2ccccc2CC1)c1ccc(Cl)cc1,Ki,5.93
CHEMBL5432993,CN(C)C(=O)C(CCN1C[C@H](O)C[C@H]1CN1CCN(c2cccc(Cl)c2Cl)CC1)(c1ccccc1)c1ccccc1,Ki,5.93
CHEMBL4572158,O=S(=O)(c1ccc2cccnc2c1)n1cc(C2=CCNCC2)c2cc(Cl)ccc21,Ki,5.93
CHEMBL4594879,Cc1nc(N)[nH]c1-c1cn(S(=O)(=O)c2cccc3ccccc23)c2ccccc12,Ki,5.93
CHEMBL1195388,O=C1c2ccccc2CCC12CCN(CC1CCCCC1)CC2,Ki,5.93
CHEMBL213238,CN1CCN(C2=Nc3ccccc3N(NC(=O)c3cccc(C#N)c3)c3ccc(Cl)cc32)CC1,Ki,5.93
CHEMBL4520003,COc1ccc2c(c1)c(-c1[nH]c(NCc3ccccc3)nc1C)cn2S(=O)(=O)c1ccccc1,Ki,5.93
CHEMBL3797740,CCCN(C)[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,Ki,5.93
CHEMBL4782694,CN1CCC(C2=Nc3cc(Cl)ccc3Nc3ccccc32)=CC1(C)C,Ki,5.93
azelastine,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,Ki,5.93
CHEMBL94015,CCCN1COC[C@@H]2c3cc(O)ccc3OC[C@H]21,Ki,5.93
CHEMBL107631,COC(=O)[C@@H]1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1,Ki,5.93
CHEMBL240379,O=C1c2ccccc2C(=O)N1CCCCN1CCCN(C(c2ccccc2)c2ccccc2)CC1,Ki,5.93
quinpirole,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21,Ki,5.93
CHEMBL89921,Cc1ccc2c3c(c(=O)oc2c1)CN(Cc1ccc(Cl)cc1)CC3,Ki,5.93
CHEMBL29182,COc1c(C(=O)NCCN2CCN(c3cccc(C)c3C)CC2)cc(Br)c2ccccc12,Ki,5.93
CHEMBL329126,COc1ccc2c3c(c(=O)oc2c1)CN(Cc1ccc(C)cc1)CC3,Ki,5.93
CHEMBL4853772,Cc1nc(N)sc1CCCN/C(N)=N/C(=S)N[C@H](C)c1ccccc1,Ki,5.93
CHEMBL91228,C#CCN1CCC[C@@H](c2cccc(C#N)c2)C1,Ki,5.93
CHEMBL4803797,O=C(CCCN1CCN(c2cccnc2)CC1)c1ccc(F)cc1,Ki,5.93
CHEMBL4301967,COc1ccc(C2(C)NC(=O)N(CC(O)CN3CCN(c4ccccc4OC)CC3)C2=O)cc1,Ki,5.93
CHEMBL166269,c1ccc(OC[C@@H]2CC[C@H]3CN(c4ncccn4)CCN3C2)cc1,Ki,5.94
CHEMBL300956,Cc1ccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)cc1,Ki,5.94
CHEMBL393775,O=C1Cc2ccccc2C(=C2CCN(CCCCN3C(=O)c4ccccc4C3=O)CC2)c2ccsc21,Ki,5.94
CHEMBL1424807,Clc1cccc(N2CCNCC2)c1Cl,Ki,5.94
CHEMBL3819726,Fc1ccc2c(c1)CC(CCN1CCc3ccccc3C1)C2,Ki,5.94
CHEMBL3958949,COc1ncccc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)n1C,Ki,5.94
CHEMBL4597188,CCCN(CCCCNC(=O)c1ccc2ccccc2c1)C[C@H]1C[C@@H]1c1cccc(Cl)c1Cl,Ki,5.94
CHEMBL154508,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2ccccc2c1,Ki,5.94
CHEMBL212608,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccccc3)c3ccccc32)CC1,Ki,5.94
CHEMBL1193817,O=C1c2ccccc2CCC12CCN(Cc1ccc(F)cc1)CC2,Ki,5.94
CHEMBL3085813,CC(C)(C)OC(=O)NC[C@H]1CC[C@H](CN2CCc3ccccc3C2)CC1,Ki,5.94
CHEMBL4794963,CC(=O)Nc1ccc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1,Ki,5.94
CHEMBL244775,O=C(NC/C=C/C[N+]1([O-])CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,Ki,5.94
CHEMBL321201,C[C@@H]1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccccc2Cl)CC1,Ki,5.94
CHEMBL3941520,Cc1nc(C(N)=O)ccc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)n1C,Ki,5.94
CHEMBL149497,COc1ccc(C2CCN(Cc3ccc4c(c3)OCC(=O)N4)CC2)cc1,Ki,5.95
CHEMBL214016,COc1cccc(C(=O)NN2c3ccc(Cl)cc3N=C(N3CCN(C)CC3)c3ccccc32)c1,Ki,5.95
CHEMBL4469813,COc1ccc(-c2c(=O)n(CCCCN3CCCC(c4c[nH]c5ccccc45)C3)c(=O)n3ccccc23)cc1,Ki,5.95
CHEMBL110435,Fc1ccc(C(OCCOC2CC3CCC(C2)N3)c2ccc(F)cc2)cc1,Ki,5.95
CHEMBL3323003,O=C(NCCCCN1CCN(c2ncnc3ccccc23)CC1)c1cn2ccccc2n1,Ki,5.95
CHEMBL3676905,CC(C)(C)c1ccc(C(=O)N[C@H]2CC[C@H](CCN3CCC(c4coc5ccccc45)CC3)CC2)cc1,Ki,5.95
CHEMBL4851121,CN(C)C(=O)N[C@H]1CC[C@H](CCNCC2CC2c2cccc(Cl)c2Cl)CC1,Ki,5.95
CHEMBL2207491,CCCN1CCC(n2ccc3ccccc32)CC1,Ki,5.95
CHEMBL4595147,CCCN(CCCCNC(=O)c1ccc2ccccc2c1)CC1CC1c1cc(Cl)ccc1OC,Ki,5.95
CHEMBL152576,COc1cccc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,Ki,5.95
TETRAHYDROPALMATINE,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,Ki,5.95
CHEMBL5222630,O=C1CCc2ccccc2N1CCCCN1CCN(c2ccccc2)CC1,Ki,5.95
CHEMBL379560,COc1ccccc1C(=O)NN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21,Ki,5.95
CHEMBL4085780,O=C1CCc2ccccc2N1CCCN1CCN(c2ccccc2)CC1,Ki,5.96
CHEMBL4520796,Cc1ccc(C(C)C)c(OCc2nc(N)nc(N3CCN(C)CC3)n2)c1,Ki,5.96
CHEMBL5029038,CC(=O)Nc1ccc(C(=O)CCCN2CCN(c3ccccn3)CC2)cc1,Ki,5.96
CHEMBL4846823,CC1(CCCN2CCN(c3ccccn3)CC2)Cc2cc(Cl)ccc2C1=O,Ki,5.96
CHEMBL356149,CN1CCC(NC2=Nc3cccnc3Nc3ccc(Cl)cc32)CC1,Ki,5.96
CHEMBL3289645,FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1,Ki,5.96
CHEMBL3780975,COc1cc2c(cc1O)C(C)N(Cc1cccc(O)c1OC)CC2,Ki,5.96
CHEMBL24539,c1ccc(CN2CCC(n3nnc(-c4ccccc4)n3)CC2)cc1,Ki,5.96
CHEMBL4861794,Nc1ccc(C(=O)CCCN2CCN(c3ccccn3)CC2)cc1,Ki,5.96
CHEMBL599977,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccc(NC(=O)Nc4c(Cl)cccc4Cl)cc3CC[C@@H]21,Ki,5.96
CHEMBL343411,O=C(CCCN1CCC(S(=O)(=O)c2ccccc2)CC1)c1ccc(F)cc1,Ki,5.96
CHEMBL2326490,Nc1nc2cc3c(cc2s1)CCN(C1CC1)CC3,Ki,5.96
CHEMBL82527,c1ccc(C2=N[C@@H](CN3CCN(c4ccccc4)CC3)CS2)cc1,Ki,5.96
"PD168,077",Cc1cccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)c1,Ki,5.96
CHEMBL242644,COc1ccccc1N1CCN(CC(O)CCNC(=O)c2ccc(-c3ccccn3)cc2)CC1,Ki,5.96
CHEMBL3950264,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccc(F)cc3)C2)n1C,Ki,5.96
CHEMBL3991399,Clc1ccc2sc(CCCCN3CCC4CCCCC4C3)nc2c1,Ki,5.96
CHEMBL149510,OC(CCc1ccccc1)CN1CCC2(CCc3cc(F)ccc3O2)CC1,Ki,5.96
CHEMBL3289647,Cc1ccc(N2CCN(CCCSc3ccc(F)cc3)CC2)nc1,Ki,5.96
CHEMBL321405,CS(=O)(=O)c1ccc(CSc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,Ki,5.96
CHEMBL149429,O=S(=O)(c1ccc(Cl)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,Ki,5.96
CHEMBL86060,c1ccc(C2=N[C@@H](CN3CCN(c4ccccc4)CC3)CO2)cc1,Ki,5.96
CHEMBL4595148,CCCN(CCCCNC(=O)c1ccc2ccccc2c1)CC1CC1c1cc(F)ccc1OC,Ki,5.96
CHEMBL209034,Clc1ccc2nc(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)cn2n1,Ki,5.96
CHEMBL320721,O=C(CN1CCN(Cc2ccc(Cl)cc2)CC1)N1c2ccccc2C[C@H]1CF,Ki,5.96
CHEMBL108564,COC(=O)c1ccc(CNc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,Ki,5.96
CHEMBL2325933,CN1CCC(c2cn(-c3ccncc3)c3ccc(-c4cccnc4)cc23)CC1,Ki,5.96
CHEMBL65641,COc1ccc(Br)cc1-c1nc(CNCC[C@@H]2CCN(Cc3ccccc3)C2)co1,Ki,5.96
CHEMBL112831,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCCN(Cc2ccccc2)C1,Ki,5.96
CHEMBL122761,O=C1c2ccc(Cl)cc2CCC12CCN(CCc1ccccc1)CC2,Ki,5.96
dopamine,NCCc1ccc(O)c(O)c1,Ki,5.96
CHEMBL2059308,O=C1CCc2cnccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,Ki,5.96
CHEMBL41200,CCCN(CCC)C1COc2c(cccc2-c2ccc(OC)cc2)C1,Ki,5.96
CHEMBL155207,c1ccc(CCC2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,Ki,5.96
CHEMBL207543,Clc1ccc(N2CCN(Cc3cn4nc(N5CCCCC5)ccc4n3)CC2)cc1Cl,Ki,5.96
CHEMBL272073,FCCOc1ccc(CN2CCN(c3ccc(Cl)cc3)CC2)cc1,Ki,5.96
CHEMBL107988,COC(=O)c1cccc(CSc2nc3ccccc3n2Cc2ccc(Cl)cc2)c1,Ki,5.96
CHEMBL561123,Cn1c(N2CCOCC2)nc2c(CN3CCN(c4ccccc4)CC3)c[nH]c2c1=O,Ki,5.96
CHEMBL4283982,COc1cc2c(cc1O)CN(CCCCNC(=O)c1ccc(Cl)cc1)CC2,Ki,5.96
CHEMBL266723,CN1CCN(C2=Nc3cc(Cl)ccc3N(C)c3ccccc32)CC1,Ki,5.96
CHEMBL1192567,O=C1CC2(CCN(CCc3ccccc3)CC2)OC=C1c1cccs1,Ki,5.97
CHEMBL3085814,CC(C)(C)OC(=O)N[C@H]1CC[C@@H](CCN2CCc3ccccc3C2)CC1,Ki,5.97
CHEMBL5221353,Cc1ccc(CC(C)CNC(=O)/N=C(\N)NCCCc2nnc(N)s2)cc1,Ki,5.97
CHEMBL3695428,CC(C)CCC(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1,Ki,5.97
CHEMBL1192000,O=C1c2ccccc2CCC1C1CCN(CC2CC2)CC1,Ki,5.97
CHEMBL65641,COc1ccc(Br)cc1-c1nc(CNCC[C@@H]2CCN(Cc3ccccc3)C2)co1,Ki,5.97
CHEMBL2159456,O=S(=O)(NCC1CCN(CCOc2cccc(F)c2)CC1)c1cccs1,Ki,5.97
CHEMBL53510,Cc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)N(C)CC3,Ki,5.97
CHEMBL3695416,CN(C)C(=O)CCC(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1,Ki,5.97
CHEMBL4864074,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3ccc(-c4ccccc4)cc3)[C@@H]1CO2,Ki,5.97
CHEMBL2207490,CCCN1CCC(c2n[nH]c3ccccc23)CC1,Ki,5.97
CHEMBL308098,Fc1ccc(C#CCOCCC2CCN(CCc3ccccc3)CC2)cc1,Ki,5.97
CHEMBL103441,CCCN(CCc1ccsc1)CCc1cccs1,Ki,5.97
CHEMBL284716,CCCN(C/C=C/I)C1CCc2cccc(O)c2C1,Ki,5.97
CHEMBL64376,c1ccc(-c2nc(CN3CCN(c4ccccc4)CC3)cs2)cc1,Ki,5.97
CHEMBL456430,OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2Cc1ccc(F)cc1,Ki,5.98
CHEMBL4566363,O=S(=O)(c1ccccc1)N1CCc2c(C3CCN(C4CCC4)CC3)cccc21,Ki,5.98
CHEMBL394863,O=C(NC[C@H]1C[C@H]1CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,Ki,5.98
CHEMBL3289646,Cc1ccc(N2CCN(CCCOc3ccc(F)cc3)CC2)nc1,Ki,5.98
CHEMBL4876611,COc1ccccc1C1CC1CNCC[C@H]1CC[C@H](NC(=O)c2ccccc2)CC1,Ki,5.98
CHEMBL90662,CN1CCC[C@@H](c2cccc(C#N)c2)C1,Ki,5.98
CHEMBL4857665,O=C1c2ccc(Cl)cc2CC1CCCCN1CCN(c2ccccn2)CC1,Ki,5.98
CHEMBL287770,CCCN(CCC)[C@H]1CCc2cccc(OC)c2[C@H]1C,Ki,5.98
CHEMBL334116,COc1c(OS(=O)(=O)C(F)(F)F)ccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3,Ki,5.98
CHEMBL5425920,Cc1ccc(N2CCN(CCCCc3nc4ccccc4s3)CC2)nc1,Ki,5.98
SB 277011-A,N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2,Ki,5.98
CHEMBL132261,CCCN(CCc1cccs1)C1CCc2c(cccc2OC2CCCC2)C1,Ki,5.98
CHEMBL5202120,Nc1nc(N)nc(NCCCCCN2CCN(c3ccccc3)CC2)n1,Ki,5.98
CHEMBL4582567,O=c1c(-c2ccc(F)cc2)c2n(c(=O)n1CCCCN1CCCC(c3c[nH]c4ccc(F)cc34)C1)CCCC2,Ki,5.98
CHEMBL3664872,O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3OCO4)CC2)CC1)C1COc2ccccc2C1,Ki,5.98
CHEMBL213424,Cc1cccc(N)c1C(=O)NN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21,Ki,5.99
